label	group	nseqs	sobs	chao	chao_lci	chao_hci	shannon	shannon_lci	shannon_hci	shannoneven	type
0.03	SRR7309272	95040.000000	268.000000	286.636364	276.467029	309.019590	0.986792	0.976935	0.996649	0.176497	SRR7309272
0.03	SRR7309273	95040.000000	58.000000	58.000000	58.000000	0.000000	1.766933	1.755778	1.778088	0.435158	SRR7309273
0.03	SRR7309274	95040.000000	134.000000	134.000000	134.000000	134.000000	0.846787	0.836168	0.857405	0.172890	SRR7309274
0.03	SRR7309275	95040.000000	22.000000	22.000000	22.000000	22.000000	1.141623	1.131852	1.151393	0.369333	SRR7309275
0.03	SRR7309276	95040.000000	37.000000	37.000000	37.000000	37.000000	1.131112	1.120939	1.141286	0.313248	SRR7309276
0.03	SRR7309277	95040.000000	68.000000	68.000000	68.000000	68.000000	1.280047	1.271006	1.289087	0.303364	SRR7309277
0.03	SRR7309278	95040.000000	122.000000	122.000000	122.000000	122.000000	2.580945	2.569584	2.592306	0.537247	SRR7309278
0.03	SRR7309279	95040.000000	60.000000	60.000000	60.000000	60.000000	2.556084	2.545485	2.566683	0.624296	SRR7309279
0.03	SRR7309281	95040.000000	408.000000	417.714286	411.045132	438.989576	3.104275	3.088782	3.119767	0.516409	SRR7309281
0.03	SRR7309282	95040.000000	98.000000	98.000000	98.000000	98.000000	2.239811	2.227516	2.252107	0.488512	SRR7309282
0.03	SRR7309283	95040.000000	59.000000	59.000000	59.000000	59.000000	2.491186	2.480626	2.501746	0.610954	SRR7309283
0.03	SRR7309284	95040.000000	106.000000	109.000000	106.501496	123.946298	0.686855	0.676108	0.697603	0.147285	SRR7309284
0.03	SRR7309285	95040.000000	56.000000	56.000000	56.000000	0.000000	1.363457	1.351751	1.375164	0.338718	SRR7309285
0.03	SRR7309286	95040.000000	30.000000	30.000000	30.000000	30.000000	0.748229	0.739523	0.756935	0.219990	SRR7309286
0.03	SRR7309287	95040.000000	78.000000	78.000000	78.000000	0.000000	0.981260	0.973586	0.988933	0.225230	SRR7309287
0.03	SRR7309288	95040.000000	236.000000	240.772727	237.317848	253.284937	1.355553	1.342795	1.368311	0.248096	SRR7309288
0.03	SRR7309289	95040.000000	40.000000	41.000000	40.069204	54.450026	1.109337	1.099717	1.118956	0.300725	SRR7309289
0.03	SRR7309290	95040.000000	85.000000	91.000000	85.915963	124.302900	1.237653	1.226325	1.248981	0.278584	SRR7309290
0.03	SRR7309291	95040.000000	117.000000	117.000000	117.000000	117.000000	3.337924	3.328401	3.347448	0.700925	SRR7309291
0.03	SRR7309292	95040.000000	280.000000	280.666667	280.066885	286.644916	1.878559	1.864611	1.892506	0.333386	SRR7309292
0.03	SRR7309293	95040.000000	172.000000	173.555556	172.263829	181.171666	0.862414	0.851884	0.872943	0.167540	SRR7309293
0.03	SRR7309295	95040.000000	110.000000	110.857143	110.092143	117.973392	1.142715	1.131650	1.153780	0.243106	SRR7309295
0.03	SRR7309296	95040.000000	201.000000	208.500000	202.773815	232.711318	2.522705	2.511111	2.534299	0.475685	SRR7309296
0.03	SRR7309297	95040.000000	128.000000	132.200000	128.789764	150.335782	1.388409	1.375908	1.400911	0.286150	SRR7309297
0.03	SRR7309298	95040.000000	339.000000	339.375000	339.027681	344.080142	3.398256	3.387557	3.408954	0.583291	SRR7309298
