label	comparison1	comparison2	braycurtis	thetayc	thetayc_lci	thetayc_hci	sharedsobs	sharedchao
0.03	SRR7309272	SRR7309273	0.406429	0.177511	0.174106	0.180916	34.000000	34.000000
0.03	SRR7309272	SRR7309274	0.241625	0.067977	0.065754	0.070200	41.000000	42.200001
0.03	SRR7309273	SRR7309274	0.341267	0.166830	0.162770	0.170890	25.000000	25.000000
0.03	SRR7309272	SRR7309275	0.991246	0.998080	0.997861	0.998299	13.000000	13.000000
0.03	SRR7309273	SRR7309275	0.765951	0.846165	0.843392	0.848939	12.000000	12.000000
0.03	SRR7309274	SRR7309275	0.992908	0.998142	0.997934	0.998349	12.000000	12.000000
0.03	SRR7309272	SRR7309276	0.990983	0.999540	0.999476	0.999604	17.000000	17.000000
0.03	SRR7309273	SRR7309276	0.814941	0.976554	0.975977	0.977132	13.000000	13.000000
0.03	SRR7309274	SRR7309276	0.991940	0.999556	0.999493	0.999620	16.000000	16.000000
0.03	SRR7309275	SRR7309276	0.793782	0.908276	0.906431	0.910120	11.000000	11.000000
0.03	SRR7309272	SRR7309277	0.990383	0.999746	0.999689	0.999803	20.000000	20.500000
0.03	SRR7309273	SRR7309277	0.928809	0.992813	0.992543	0.993082	15.000000	15.000000
0.03	SRR7309274	SRR7309277	0.992098	0.999792	0.999738	0.999847	17.000000	17.000000
0.03	SRR7309275	SRR7309277	0.927557	0.975489	0.974605	0.976373	11.000000	11.000000
0.03	SRR7309276	SRR7309277	0.909386	0.992895	0.992580	0.993210	19.000000	19.000000
0.03	SRR7309272	SRR7309278	0.989404	0.999287	0.999188	0.999385	27.000000	27.333334
0.03	SRR7309273	SRR7309278	0.818592	0.961856	0.960905	0.962807	21.000000	21.000000
0.03	SRR7309274	SRR7309278	0.991393	0.999377	0.999284	0.999470	22.000000	22.000000
0.03	SRR7309275	SRR7309278	0.792582	0.867885	0.865216	0.870554	13.000000	13.000000
0.03	SRR7309276	SRR7309278	0.798422	0.978256	0.977709	0.978802	20.000000	20.000000
0.03	SRR7309277	SRR7309278	0.907186	0.991851	0.991587	0.992116	32.000000	32.000000
0.03	SRR7309272	SRR7309279	0.988973	0.998033	0.997834	0.998233	22.000000	22.500000
0.03	SRR7309273	SRR7309279	0.766351	0.853445	0.850612	0.856277	16.000000	16.000000
0.03	SRR7309274	SRR7309279	0.991393	0.998276	0.998095	0.998456	21.000000	21.000000
0.03	SRR7309275	SRR7309279	0.439236	0.274905	0.269402	0.280407	14.000000	14.000000
0.03	SRR7309276	SRR7309279	0.767929	0.919508	0.917849	0.921166	22.000000	22.000000
0.03	SRR7309277	SRR7309279	0.902915	0.972938	0.972090	0.973786	26.000000	26.000000
0.03	SRR7309278	SRR7309279	0.668908	0.823668	0.820222	0.827114	35.000000	35.000000
0.03	SRR7309272	SRR7309281	0.981965	0.997720	0.997447	0.997992	84.000000	88.269234
0.03	SRR7309273	SRR7309281	0.810785	0.917916	0.916059	0.919774	45.000000	46.500000
0.03	SRR7309274	SRR7309281	0.905976	0.964468	0.963506	0.965430	56.000000	56.000000
0.03	SRR7309275	SRR7309281	0.928672	0.963072	0.961832	0.964312	16.000000	16.000000
0.03	SRR7309276	SRR7309281	0.926010	0.993480	0.993249	0.993711	21.000000	21.000000
